 #Domain dimensions (in µm) computed by Gaussian fitting; Multiply by 2.3 to get the FWHM
 #HR_Pixel size= .015µm ; HR_Zoom= 1
 ROI	plane	N°Domain	SigmaX	SigmaY	Theta	Xc	Yc	Intensity	Offset	RSS	X0	Y0	I0	Ibg0
 44	 1	 4	 .0432563710212708	 .0433710336685181	 .785398185253143	 1318.03405761719	 1228.91528320313	 90.9805908203125	 7.73532056808472	 .795637369155884	 1318.03405761719	 1228.91528320313	 0	 0
 52	 1	 7	 .0217304134368896	 .0250534307956696	 2.35619451204804	 196.166610717773	 1316.65783691406	 33.1980667114258	 27.4565677642822	 .632894933223724	 196.166610717773	 1316.65783691406	 0	 0
 41	 1	 9	 .0252522987127304	 .0286309003829956	 .785398185253143	 855.996215820313	 1091.86633300781	 30.2702522277832	 26.9968070983887	 .457373052835464	 855.996215820313	 1091.86633300781	 0	 0
 4	 1	 10	 .021448974609375	 .0258540397882462	 2.35619451204804	 707.274475097656	 97.2830200195313	 33.3315963745117	 20.427885055542	 .750457286834717	 707.274475097656	 97.2830200195313	 0	 0
 44	 1	 26	 .0328171348571777	 .0733962392807007	 .785398185253143	 1326.689453125	 1227.30090332031	 52.2055320739746	 38.911808013916	 .660949647426605	 1326.689453125	 1227.30090332031	 0	 0
 23	 1	 27	 .0245056021213531	 .029301677942276	 .785398185253143	 185.427780151367	 320.473968505859	 53.6001167297363	 39.3370018005371	 .714212715625763	 185.427780151367	 320.473968505859	 0	 0
 11	 1	 30	 .0431542646884918	 .0537160062789917	 2.35619451204804	 439.623321533203	 196.378295898438	 54.2081832885742	 7.7717924118042	 .662093460559845	 439.623321533203	 196.378295898438	 0	 0
 8	 1	 31	 .0422401177883148	 .0546894013881683	 2.35619451204804	 654.166687011719	 135.85905456543	 33.655891418457	 26.5677909851074	 .362304598093033	 654.166687011719	 135.85905456543	 0	 0
 24	 1	 32	 .0244505095481873	 .0283230793476105	 .785398185253143	 202.632797241211	 337.266784667969	 30.3693408966064	 21.0995979309082	 .701752066612244	 202.632797241211	 337.266784667969	 0	 0
 36	 1	 33	 .0309486794471741	 .0315200972557068	 .785398185253143	 1135.26733398438	 660.845703125	 43.0193481445313	 8.00379180908203	 .817209303379059	 1135.26733398438	 660.845703125	 0	 0
 1	 1	 34	 .0271508699655533	 .0276151013374329	 .785398185253143	 895.462646484375	 4.94461727142334	 35.6671905517578	 16.380838394165	 .741895079612732	 895.462646484375	 4.94461727142334	 0	 0
 27	 1	 36	 .0218541383743286	 .0371308565139771	 2.35619451204804	 194.086730957031	 377.766967773438	 40.8699073791504	 80.9198303222656	 .539790689945221	 194.086730957031	 377.766967773438	 0	 0
 23	 1	 37	 .0308391058444977	 .0321960175037384	 .785398185253143	 194.467483520508	 331.268035888672	 39.9060173034668	 25.9430141448975	 .747073352336884	 194.467483520508	 331.268035888672	 0	 0
 27	 1	 42	 .0598688900470734	 .0854086375236511	 2.35619451204804	 197.181198120117	 377.467987060547	 87.6579818725586	 11.6912155151367	 .406829029321671	 197.181198120117	 377.467987060547	 0	 0
 29	 1	 47	 .0280170696973801	 .0375417065620422	 .785398185253143	 96.2711791992188	 391.602722167969	 30.5401020050049	 15.8070487976074	 .6365807056427	 96.2711791992188	 391.602722167969	 0	 0
 37	 1	 54	 .0275110620260239	 .0325624823570251	 .785398185253143	 1101.34716796875	 707.029174804688	 36.6921501159668	 17.5298767089844	 .697909772396088	 1101.34716796875	 707.029174804688	 0	 0
 5	 1	 56	 .0206282919645309	 .0215814971923828	 2.35619451204804	 729.141479492188	 91.9255752563477	 26.3096694946289	 43.7409629821777	 .456832498311996	 729.141479492188	 91.9255752563477	 0	 0
 25	 1	 60	 .0250186157226562	 .0287380975484848	 2.35619451204804	 1305.2109375	 344.923095703125	 17.9770450592041	 35.4318695068359	 .121325023472309	 1305.2109375	 344.923095703125	 0	 0
 11	 1	 61	 .0326690983772278	 .0356426703929901	 2.35619451204804	 461.420440673828	 175.51399230957	 46.5512466430664	 23.9321174621582	 .652661025524139	 461.420440673828	 175.51399230957	 0	 0
 33	 1	 66	 .0375940561294556	 .0404363930225372	 .785398185253143	 1215.81213378906	 484.880920410156	 57.003173828125	 12.1547117233276	 .779069364070892	 1215.81213378906	 484.880920410156	 0	 0
 18	 1	 69	 .0273318886756897	 .033210951089859	 .785398185253143	 304.132141113281	 260.100250244141	 36.5356750488281	 18.7635803222656	 .696718275547028	 304.132141113281	 260.100250244141	 0	 0
 40	 1	 71	 .0330498898029327	 .0400992929935455	 .785398185253143	 909.810241699219	 987.989990234375	 42.1290130615234	 11.0013971328735	 .807874917984009	 909.810241699219	 987.989990234375	 0	 0
 44	 1	 75	 .0188814675807953	 .0200495427846909	 .785398185253143	 1322.65002441406	 1232.42443847656	 37.520637512207	 71.0562515258789	 .384007126092911	 1322.65002441406	 1232.42443847656	 0	 0
 1	 1	 77	 .0235885083675385	 .0297930586338043	 .785398185253143	 909.104125976563	 14.2102394104004	 38.2520332336426	 14.0550718307495	 .767776489257813	 909.104125976563	 14.2102394104004	 0	 0
 37	 1	 80	 .0409983766078949	 .0452938091754913	 .785398185253143	 1087.88427734375	 706.558349609375	 68.8076705932617	 0	 .8463454246521	 1087.88427734375	 706.558349609375	 0	 0
 29	 1	 83	 .0250913178920746	 .0295707088708878	 .785398185253143	 78.8245697021484	 389.485931396484	 52.4343338012695	 13.0046710968018	 .826263308525085	 78.8245697021484	 389.485931396484	 0	 0
 32	 1	 87	 .0546231257915497	 .0577952206134796	 .785398185253143	 1256.57250976563	 426.281585693359	 77.5163192749023	 0	 .786945641040802	 1256.57250976563	 426.281585693359	 0	 0
 2	 1	 94	 .0231024813652039	 .0256487399339676	 2.35619451204804	 826.297546386719	 35.8151321411133	 42.6631469726563	 24.5248470306396	 .668144583702087	 826.297546386719	 35.8151321411133	 0	 0
 23	 1	 96	 .0422306227684021	 .0514885425567627	 .785398185253143	 177.207595825195	 342.975463867188	 55.2630004882813	 7.7088623046875	 .821894824504852	 177.207595825195	 342.975463867188	 0	 0
 38	 1	 97	 .0233408135175705	 .0286662966012955	 .785398185253143	 978.050537109375	 876.015747070313	 33.9225997924805	 22.8655586242676	 .740655958652496	 978.050537109375	 876.015747070313	 0	 0
 27	 1	 102	 .0348028421401977	 .0707172632217407	 .785398185253143	 201.750595092773	 356.688354492188	 36.4119110107422	 16.14892578125	 .510279297828674	 201.750595092773	 356.688354492188	 0	 0
 52	 1	 103	 .0298604625463486	 .0344902038574219	 2.35619451204804	 186.658172607422	 1314.40673828125	 40.6645164489746	 29.1123294830322	 .67963182926178	 186.658172607422	 1314.40673828125	 0	 0
 13	 1	 113	 .0248362416028976	 .0299350994825363	 .785398185253143	 409.593963623047	 202.784805297852	 49.2106704711914	 22.5868682861328	 .83872264623642	 409.593963623047	 202.784805297852	 0	 0
 33	 1	 118	 .0337041449546814	 .0456751656532288	 2.35619451204804	 1219.57360839844	 473.634613037109	 69.1500473022461	 32.2373657226563	 .785945475101471	 1219.57360839844	 473.634613037109	 0	 0
